occupancy,median,lower,upper,lower_whisker,upper_whisker
0,0.367882788181305,0.367858037352562,0.367902092635632,0.367791954427958,0.367968175560236
1,0.367871671915054,0.367836847901344,0.367923419922590,0.367714285850525,0.368047878146172
2,0.183937065303326,0.183910023421049,0.183969490230083,0.183833360671997,0.184058690443635
3,0.061312705278397,0.061298996210098,0.061329610645771,0.061253074556589,0.061375532299280
4,0.015329264104366,0.015319973230362,0.015339724719524,0.015293478965759,0.015359863638878
5,0.003064952790737,0.003059457987547,0.003069493919611,0.003051653504372,0.003081128001213
6,0.000510916113853,0.000508703291416,0.000512596219778,0.000502863898873,0.000516682863235
7,0.000073187053204,0.000072374939919,0.000073872506618,0.000070556998253,0.000075131654739
8,0.000009149312973,0.000008922070265,0.000009357929230,0.000008268281817,0.000009924173355
9,0.000001013278961,0.000000935047865,0.000001102685928,0.000000745058060,0.000001281499863
10,0.000000104308128,0.000000074505806,0.000000134110451,0.000000029802322,0.000000223517418
11,0.000000000001000,0.000000000001000,0.000000014901161,0.000000000001000,0.000000037252903
