occupancy,median,lower,upper,lower_whisker,upper_whisker
0,0.367990709841251,0.367799639701843,0.368120551109314,0.367535561323166,0.368218630552292
1,0.367779970169067,0.367621965706348,0.367938980460167,0.367483675479889,0.368198826909065
2,0.183863386511803,0.183803562074900,0.183999493718147,0.183766901493073,0.184146583080292
3,0.061362162232399,0.061318576335907,0.061370495706797,0.061259299516678,0.061430856585503
4,0.015352748334408,0.015320934355259,0.015378519892693,0.015248417854309,0.015392377972603
5,0.003076635301113,0.003048878163099,0.003083337098360,0.003025174140930,0.003088787198067
6,0.000512436032295,0.000506468117237,0.000516872853041,0.000497996807098,0.000518307089806
7,0.000072509050369,0.000070609152317,0.000074241310358,0.000068679451942,0.000075682997704
8,0.000009320676327,0.000009004026651,0.000009458512068,0.000008322298527,0.000009566545486
9,0.000001013278961,0.000000953674316,0.000001121312380,0.000000715255737,0.000001251697540
10,0.000000111758709,0.000000089406967,0.000000134110451,0.000000059604645,0.000000163912773
11,0.000000007450581,0.000000000001000,0.000000014901161,0.000000000001000,0.000000029802322
