case_id,entry_id,object_id,operation_type,percentile,latency_ns
24,0,6,1,50.0,226
24,0,6,1,95.0,1473
24,0,6,1,99.0,4333
24,0,6,1,99.9,13659
24,0,6,1,99.99,161991
24,0,6,1,100.0,787726156
24,0,6,0,50.0,122
24,0,6,0,95.0,187
24,0,6,0,99.0,386
24,0,6,0,99.9,1079
24,0,6,0,99.99,161747
24,0,6,0,100.0,787515318
24,0,7,1,50.0,321
24,0,7,1,95.0,667
24,0,7,1,99.0,909
24,0,7,1,99.9,16482
24,0,7,1,99.99,18557
24,0,7,1,100.0,179484621
24,0,7,0,50.0,236
24,0,7,0,95.0,489
24,0,7,0,99.0,651
24,0,7,0,99.9,889
24,0,7,0,99.99,3515
24,0,7,0,100.0,292662
24,0,15,1,50.0,452
24,0,15,1,95.0,34314
24,0,15,1,99.0,61422
24,0,15,1,99.9,104372
24,0,15,1,99.99,291233
24,0,15,1,100.0,40813248
24,0,15,0,50.0,149
24,0,15,0,95.0,483
24,0,15,0,99.0,791
24,0,15,0,99.9,1289
24,0,15,0,99.99,1992
24,0,15,0,100.0,305803
24,0,18,1,50.0,331
24,0,18,1,95.0,621
24,0,18,1,99.0,805
24,0,18,1,99.9,1078
24,0,18,1,99.99,3778
24,0,18,1,100.0,105920123
24,0,18,0,50.0,283
24,0,18,0,95.0,560
24,0,18,0,99.0,731
24,0,18,0,99.9,1004
24,0,18,0,99.99,3613
24,0,18,0,100.0,286279
24,0,21,1,50.0,172
24,0,21,1,95.0,349
24,0,21,1,99.0,539
24,0,21,1,99.9,715
24,0,21,1,99.99,1107
24,0,21,1,100.0,143208052
24,0,21,0,50.0,162
24,0,21,0,95.0,249
24,0,21,0,99.0,510
24,0,21,0,99.9,592
24,0,21,0,99.99,736
24,0,21,0,100.0,277207
24,0,24,1,50.0,1041
24,0,24,1,95.0,1817
24,0,24,1,99.0,2291
24,0,24,1,99.9,3974
24,0,24,1,99.99,7770
24,0,24,1,100.0,53416607
24,0,24,0,50.0,719
24,0,24,0,95.0,1298
24,0,24,0,99.0,1624
24,0,24,0,99.9,2081
24,0,24,0,99.99,3785
24,0,24,0,100.0,258555
