case_id,object_id,table_size,throughput (ops/s)
1,6,32767,22904000
1,6,262143,11452375
1,6,2097151,8010431
1,6,16777215,6592059
1,6,134217727,6387838
1,7,262143,26176857
1,7,2097151,19545453
1,7,16777215,15034965
1,7,134217727,9258678
1,15,262143,26176857
1,15,2097151,19545453
1,15,16777215,15410345
1,15,134217727,14830570
1,17,262143,20359777
1,17,2097151,17451297
1,17,16777215,9772727
1,17,134217727,7507857
1,20,262143,36647600
1,20,2097151,22552446
1,20,16777215,17045454
1,20,134217727,15665084
1,24,32767,11452000
1,24,262143,7966869
1,24,2097151,4774947
1,24,16777215,3134796
1,24,134217727,2773060
3,6,32767,22904000
3,6,262143,15269833
3,6,2097151,10622528
3,6,16777215,8965805
3,6,134217727,8684457
3,7,262143,20359777
3,7,2097151,10109717
3,7,16777215,7620060
3,7,134217727,7441163
3,15,262143,45809500
3,15,2097151,28743313
3,15,16777215,19383922
3,15,134217727,19162212
3,17,32767,22904000
3,17,262143,15269833
3,17,2097151,11727272
3,17,16777215,7324967
3,17,134217727,6194664
3,20,262143,20359777
3,20,2097151,11452414
3,20,16777215,8311320
3,20,134217727,7987245
3,24,32767,7634666
3,24,262143,4822052
3,24,2097151,2214364
3,24,16777215,919425
3,24,134217727,666270
9,6,32767,22904000
9,6,262143,18323800
9,6,2097151,11917959
9,6,16777215,10396518
9,6,134217727,10045849
9,7,262143,61079333
9,7,2097151,25717701
9,7,16777215,18181818
9,7,134217727,15247552
9,15,262143,45809500
9,15,2097151,33316113
9,15,16777215,22466040
9,15,134217727,22226531
9,17,262143,26176857
9,17,2097151,17451297
9,17,16777215,10828506
9,17,134217727,9729149
9,20,262143,61079333
9,20,2097151,29916510
9,20,16777215,22168758
9,20,134217727,21288448
9,24,262143,22904750
9,24,2097151,9581104
9,24,16777215,7565982
9,24,134217727,7013919
10,6,32767,22904000
10,6,262143,16658000
10,6,2097151,10778742
10,6,16777215,9234073
10,6,134217727,8968376
10,7,262143,45809500
10,7,2097151,26176946
10,7,16777215,20149953
10,7,134217727,12113388
10,15,262143,26176857
10,15,2097151,18097641
10,15,16777215,11519914
10,15,134217727,10887570
10,17,262143,36647600
10,17,2097151,22552446
10,17,16777215,15553412
10,17,134217727,13090301
10,20,262143,91619000
10,20,2097151,35753878
10,20,16777215,28743316
10,20,134217727,28080871
10,24,262143,18323800
10,24,2097151,11821846
10,24,16777215,6237911
10,24,134217727,5240654
