occupancy,median,lower,upper,lower_whisker,upper_whisker
0,0.367893934249878,0.367860719561577,0.367907986044884,0.367793440818787,0.367941975593567
1,0.367847949266434,0.367801662534475,0.367896035313606,0.367776349186897,0.368023693561554
2,0.183960005640984,0.183940518647432,0.183967582881451,0.183907464146614,0.183996215462685
3,0.061321981251240,0.061297662556171,0.061326589435339,0.061292529106140,0.061341583728790
4,0.015326231718063,0.015317846089602,0.015333335846663,0.015311717987061,0.015342161059380
5,0.003064617514610,0.003061417490244,0.003066129982471,0.003057658672333,0.003073198720813
6,0.000510200858116,0.000508688390255,0.000512439757586,0.000505298376083,0.000513866543770
7,0.000073231756687,0.000072635710239,0.000073865056038,0.000071972608566,0.000073969364166
8,0.000009164214134,0.000008828938007,0.000009302049875,0.000008419156075,0.000009432435036
9,0.000001013278961,0.000000983476639,0.000001028180122,0.000000916421413,0.000001087784767
10,0.000000089406967,0.000000078231096,0.000000126659870,0.000000059604645,0.000000149011612
11,0.000000000001000,0.000000000001000,0.000000011175871,0.000000000001000,0.000000027939677
