occupancy,median,lower,upper,lower_whisker,upper_whisker
0,0.367899015545845,0.367899015545845,0.367899015545845,0.367899015545845,0.367899015545845
1,0.367869883775711,0.367869883775711,0.367869883775711,0.367869883775711,0.367869883775711
2,0.183953285217285,0.183953285217285,0.183953285217285,0.183953285217285,0.183953285217285
3,0.061257168650627,0.061257168650627,0.061257168650627,0.061257168650627,0.061257168650627
4,0.015347510576248,0.015347510576248,0.015347510576248,0.015347510576248,0.015347510576248
5,0.003074198961258,0.003074198961258,0.003074198961258,0.003074198961258,0.003074198961258
6,0.000513613224030,0.000513613224030,0.000513613224030,0.000513613224030,0.000513613224030
7,0.000074699521065,0.000074699521065,0.000074699521065,0.000074699521065,0.000074699521065
8,0.000009328126907,0.000009328126907,0.000009328126907,0.000009328126907,0.000009328126907
9,0.000001177191734,0.000001177191734,0.000001177191734,0.000001177191734,0.000001177191734
10,0.000000104308128,0.000000104308128,0.000000104308128,0.000000104308128,0.000000104308128
11,0.000000014901161,0.000000014901161,0.000000014901161,0.000000014901161,0.000000014901161
