occupancy,median,lower,upper,lower_whisker,upper_whisker
0,0.367921188473701,0.367781639099121,0.368046119809151,0.367384918034077,0.368310198187828
1,0.367845684289932,0.367711879312992,0.367981445044279,0.367343172430992,0.368385793641210
2,0.183945506811142,0.183849073946476,0.184020236134529,0.183754757046700,0.184276979416609
3,0.061292797327042,0.061266545206308,0.061336614191532,0.061199843883514,0.061441717669368
4,0.015345521271229,0.015315510332584,0.015377275645733,0.015222862362862,0.015397056937218
5,0.003073297441006,0.003052245825529,0.003081806004047,0.003013312816620,0.003103420138359
6,0.000511787831783,0.000505067408085,0.000514771789312,0.000498741865158,0.000526487827301
7,0.000072672963142,0.000071901828051,0.000072859227657,0.000070855021477,0.000074295327067
8,0.000009283423424,0.000008989125490,0.000009436160326,0.000008583068848,0.000009760260582
9,0.000000976026058,0.000000879168510,0.000001106411219,0.000000819563866,0.000001326203346
10,0.000000104308128,0.000000081956387,0.000000119209290,0.000000044703484,0.000000149011612
11,0.000000022351742,0.000000003725290,0.000000040978193,0.000000000001000,0.000000044703484
