occupancy,median,lower,upper,lower_whisker,upper_whisker
0,0.367882020771503,0.367873307317495,0.367913719266653,0.367812689393759,0.367920920252800
1,0.367868699133396,0.367846306413412,0.367878083139658,0.367824614048004,0.367925748229027
2,0.183947280049324,0.183932237327099,0.183965161442757,0.183890163898468,0.183989271521568
3,0.061311379075050,0.061293363571167,0.061330787837505,0.061287105083466,0.061350345611572
4,0.015328489243984,0.015325319021940,0.015334695577621,0.015311254188418,0.015348760411143
5,0.003065474331379,0.003061320632696,0.003068353980780,0.003056585788727,0.003072232007980
6,0.000511333346367,0.000509455800056,0.000513147562742,0.000508680939674,0.000514343380928
7,0.000073164701462,0.000072818249464,0.000073920935392,0.000071436166763,0.000074550509453
8,0.000009037554264,0.000008776783943,0.000009298324585,0.000008448958397,0.000009581446648
9,0.000001013278961,0.000000964850187,0.000001039355993,0.000000853091478,0.000001117587090
10,0.000000104308128,0.000000089406967,0.000000145286322,0.000000059604645,0.000000178813934
11,0.000000014901161,0.000000000001000,0.000000014901161,0.000000000001000,0.000000014901161
