case_id,entry_id,object_id,operation_type,percentile,latency_ns
24,0,6,1,50.0,200
24,0,6,1,95.0,989
24,0,6,1,99.0,2749
24,0,6,1,99.9,7698
24,0,6,1,99.99,125639
24,0,6,1,100.0,808327145
24,0,6,0,50.0,167
24,0,6,0,95.0,384
24,0,6,0,99.0,565
24,0,6,0,99.9,712
24,0,6,0,99.99,125220
24,0,6,0,100.0,241320115
24,0,7,1,50.0,215
24,0,7,1,95.0,684
24,0,7,1,99.0,1427
24,0,7,1,99.9,13182
24,0,7,1,99.99,15407
24,0,7,1,100.0,232715317
24,0,7,0,50.0,231
24,0,7,0,95.0,496
24,0,7,0,99.0,650
24,0,7,0,99.9,953
24,0,7,0,99.99,3505
24,0,7,0,100.0,74004
24,0,15,1,50.0,423
24,0,15,1,95.0,36986
24,0,15,1,99.0,66390
24,0,15,1,99.9,113061
24,0,15,1,99.99,292937
24,0,15,1,100.0,41741344
24,0,15,0,50.0,142
24,0,15,0,95.0,717
24,0,15,0,99.0,1362
24,0,15,0,99.9,2335
24,0,15,0,99.99,3313
24,0,15,0,100.0,93023
24,0,18,1,50.0,346
24,0,18,1,95.0,606
24,0,18,1,99.0,788
24,0,18,1,99.9,1046
24,0,18,1,99.99,3630
24,0,18,1,100.0,121883575
24,0,18,0,50.0,277
24,0,18,0,95.0,545
24,0,18,0,99.0,710
24,0,18,0,99.9,966
24,0,18,0,99.99,3455
24,0,18,0,100.0,77122
24,0,21,1,50.0,165
24,0,21,1,95.0,390
24,0,21,1,99.0,541
24,0,21,1,99.9,754
24,0,21,1,99.99,1084
24,0,21,1,100.0,94682591
24,0,21,0,50.0,150
24,0,21,0,95.0,237
24,0,21,0,99.0,497
24,0,21,0,99.9,578
24,0,21,0,99.99,704
24,0,21,0,100.0,84079
24,0,24,1,50.0,1420
24,0,24,1,95.0,2810
24,0,24,1,99.0,3669
24,0,24,1,99.9,5208
24,0,24,1,99.99,7590
24,0,24,1,100.0,282473472
24,0,24,0,50.0,878
24,0,24,0,95.0,1793
24,0,24,0,99.0,2400
24,0,24,0,99.9,3347
24,0,24,0,99.99,4756
24,0,24,0,100.0,284395873
