case_id,object_id,window,throughput (ops/s)
29,6,1,115784679
29,6,2,100102625
29,6,3,97883313
29,6,4,40156055
29,6,5,42111445
29,6,6,9594098
29,6,7,63525937
29,6,8,42592536
29,6,9,35312986
29,6,10,21979824
29,6,11,6449792
29,6,12,51369259
29,6,13,83427150
29,6,14,80776119
29,6,15,73875825
29,6,16,21183333
29,6,17,58294649
29,6,18,49185576
29,6,19,40127242
29,6,20,28344652
29,6,21,3964273
29,6,22,21396760
29,6,23,74169761
29,6,24,83593423
29,6,25,84054108
29,6,26,12951366
29,6,27,70849662
29,6,28,77997210
29,6,29,75234080
29,6,30,69528387
29,6,31,66761639
29,6,32,62322436
29,6,33,59854441
29,6,34,52576621
29,6,35,49446507
29,6,36,47060869
29,6,37,40751032
29,6,38,34988946
29,6,39,30637691
29,6,40,25350861
29,6,41,17389303
29,6,42,2237855
29,6,43,24276081
29,6,44,73423194
29,6,45,85163451
29,6,46,6968722
29,6,47,77207547
29,6,48,74301151
29,6,49,84054108
29,6,50,75983695
29,6,51,47839178
29,6,52,72754553
29,6,53,73326923
29,6,54,77314285
29,6,55,75641118
29,6,56,69759667
29,6,57,72471706
29,6,58,71820205
29,6,59,67378313
29,6,60,67378313
29,6,61,67432475
29,6,62,65204819
29,6,63,63937500
29,6,64,56526954
29,6,65,57554716
29,6,66,54137463
29,6,67,56698884
29,6,68,53159695
29,6,69,49461084
29,6,70,49315696
29,6,71,44870821
29,6,72,42820826
29,6,73,40098470
29,6,74,39568867
29,6,75,37914576
29,6,76,34225214
29,6,77,30965669
29,6,78,27864474
29,6,79,25910733
29,6,80,22360655
29,6,81,19173942
29,6,82,14938295
29,6,83,11726567
29,6,84,1179259
29,6,85,21774432
29,6,86,47021300
29,6,87,56017362
29,6,88,3617803
29,6,89,54330310
29,6,90,55608882
29,6,91,55608882
29,6,92,54067676
29,6,93,53945980
29,6,94,53928640
29,6,95,43702005
29,6,96,49578014
29,6,97,53567049
29,6,98,51765504
29,6,99,77924756
29,6,100,73333479
29,7,1,108872160
29,7,2,106454314
29,7,3,102927607
29,7,4,113898167
29,7,5,30454165
29,7,6,45172859
29,7,7,63072180
29,7,8,66761639
29,7,9,79967588
29,7,10,11022403
29,7,11,33662118
29,7,12,100222222
29,7,13,102237659
29,7,14,103054054
29,7,15,103307881
29,7,16,91829228
29,7,17,95760273
29,7,18,81206195
29,7,19,70492436
29,7,20,6041483
29,7,21,19512909
29,7,22,94840022
29,7,23,86838509
29,7,24,101006622
29,7,25,89145589
29,7,26,101250452
29,7,27,89909967
29,7,28,91879518
29,7,29,88254602
29,7,30,91628618
29,7,31,86302469
29,7,32,93727374
29,7,33,86793585
29,7,34,95487763
29,7,35,81919921
29,7,36,78178937
29,7,37,70050939
29,7,38,60764940
29,7,39,41901098
29,7,40,3090748
29,7,41,10044423
29,7,42,52265420
29,7,43,62229970
29,7,44,61208318
29,7,45,45516006
29,7,46,56622342
29,7,47,62299294
29,7,48,59811764
29,7,49,62554809
29,7,50,60875181
29,7,51,63143394
29,7,52,60480173
29,7,53,63262443
29,7,54,59241525
29,7,55,61590308
29,7,56,60963662
29,7,57,62415178
29,7,58,60393088
29,7,59,63024793
29,7,60,61185995
29,7,61,62299294
29,7,62,60306254
29,7,63,61635562
29,7,64,58950105
29,7,65,61119125
29,7,66,58867368
29,7,67,61275383
29,7,68,58805467
29,7,69,57633802
29,7,70,55924000
29,7,71,58032514
29,7,72,54863309
29,7,73,54277580
29,7,74,50533734
29,7,75,50141063
29,7,76,47757472
29,7,77,45466666
29,7,78,43816139
29,7,79,2837341
29,7,80,5317148
29,7,81,24087867
29,7,82,48349279
29,7,83,53928640
29,7,84,52758490
29,7,85,53142857
29,7,86,54471428
29,7,87,54577748
29,7,88,54971166
29,7,89,53876685
29,7,90,53773076
29,7,91,55830948
29,7,92,55480158
29,7,93,53481670
29,7,94,54648859
29,7,95,56261569
29,7,96,54613281
29,7,97,54881256
29,7,98,27240136
29,7,99,40349206
29,7,100,54904123
29,15,1,19145498
29,15,2,18059418
29,15,3,17039609
29,15,4,14785582
29,15,5,2858028
29,15,6,16844578
29,15,7,16352046
29,15,8,15077918
29,15,9,14160364
29,15,10,1526212
29,15,11,16114878
29,15,12,16117974
29,15,13,15731082
29,15,14,15254773
29,15,15,14683353
29,15,16,14237270
29,15,17,13809531
29,15,18,13454049
29,15,19,802180
29,15,20,15944877
29,15,21,15996567
29,15,22,15748803
29,15,23,15756198
29,15,24,15553165
29,15,25,15060323
29,15,26,14982318
29,15,27,14578727
29,15,28,14351753
29,15,29,14154391
29,15,30,14077194
29,15,31,13839148
29,15,32,13510388
29,15,33,13420686
29,15,34,13153430
29,15,35,13077558
29,15,36,12769008
29,15,37,12757356
29,15,38,431159
29,15,39,16553724
29,15,40,17110861
29,15,41,16898871
29,15,42,16881867
29,15,43,16521122
29,15,44,16720350
29,15,45,16480550
29,15,46,16467608
29,15,47,16223962
29,15,48,16070114
29,15,49,15848479
29,15,50,15943362
29,15,51,15640160
29,15,52,15548841
29,15,53,15440088
29,15,54,15242300
29,15,55,15076563
29,15,56,14959607
29,15,57,15034680
29,15,58,14862863
29,15,59,14697503
29,15,60,14634682
29,15,61,14706521
29,15,62,14562277
29,15,63,14344391
29,15,64,14251783
29,15,65,14283330
29,15,66,14169932
29,15,67,14014869
29,15,68,13888410
29,15,69,13856293
29,15,70,13701265
29,15,71,13561716
29,15,72,13545293
29,15,73,13488663
29,15,74,13344893
29,15,75,13378947
29,15,76,215899
29,15,77,15640160
29,15,78,16692070
29,15,79,16617670
29,15,80,16566801
29,15,81,16617670
29,15,82,16449848
29,15,83,16451461
29,15,84,16216122
29,15,85,16324997
29,15,86,16361614
29,15,87,16202028
29,15,88,16219257
29,15,89,16187958
29,15,90,16010306
29,15,91,15984375
29,15,92,15675231
29,15,93,15722237
29,15,94,15634330
29,15,95,15635787
29,15,96,15528693
29,15,97,15380638
29,15,98,15444352
29,15,99,15341258
29,15,100,15309032
29,18,1,25404603
29,18,2,62765432
29,18,3,58702589
29,18,4,61771723
29,18,5,4184466
29,18,6,63048478
29,18,7,73940943
29,18,8,67650000
29,18,9,72628571
29,18,10,2956178
29,18,11,67841488
29,18,12,56603238
29,18,13,69098846
29,18,14,66602620
29,18,15,72440414
29,18,16,66000000
29,18,17,71544562
29,18,18,64902127
29,18,19,1634376
29,18,20,48700145
29,18,21,70640842
29,18,22,70080200
29,18,23,69470807
29,18,24,71210526
29,18,25,67786666
29,18,26,70403692
29,18,27,65128881
29,18,28,71271028
29,18,29,65792941
29,18,30,65664187
29,18,31,64751833
29,18,32,70285714
29,18,33,70730185
29,18,34,70433249
29,18,35,69528387
29,18,36,62183839
29,18,37,69384615
29,18,38,1305232
29,18,39,59451452
29,18,40,70999576
29,18,41,63840182
29,18,42,67081967
29,18,43,62391967
29,18,44,70138795
29,18,45,62695067
29,18,46,71240764
29,18,47,62859497
29,18,48,69442052
29,18,49,62508196
29,18,50,70492436
29,18,51,61817243
29,18,52,70315171
29,18,53,59095456
29,18,54,69875885
29,18,55,53396562
29,18,56,69934139
29,18,57,53328671
29,18,58,67978930
29,18,59,60393088
29,18,60,68478367
