case_id,object_id,window,throughput (ops/s)
30,6,1,87333001
30,6,2,131611611
30,6,3,107179278
30,6,4,79802472
30,6,5,45447333
30,6,6,9555351
30,6,7,75863055
30,6,8,96707430
30,6,9,75567388
30,6,10,27462159
30,6,11,6755734
30,6,12,62407206
30,6,13,103096411
30,6,14,104931794
30,6,15,27711642
30,6,16,84964533
30,6,17,74100401
30,6,18,63333888
30,6,19,48405404
30,6,20,33932440
30,6,21,16240731
30,6,22,4404113
30,6,23,83531282
30,6,24,104017245
30,6,25,105834054
30,6,26,12106922
30,6,27,96353454
30,6,28,95276781
30,6,29,92293952
30,6,30,86235119
30,6,31,81989346
30,6,32,77673840
30,6,33,72019264
30,6,34,67535898
30,6,35,60780450
30,6,36,55700253
30,6,37,48331758
30,6,38,42987569
30,6,39,35568065
30,6,40,28897308
30,6,41,20782499
30,6,42,11964659
30,6,43,2334963
30,6,44,67203111
30,6,45,106791013
30,6,46,106969614
30,6,47,7153351
30,6,48,107219809
30,6,49,102876855
30,6,50,104355302
30,6,51,100508924
30,6,52,102553143
30,6,53,97764300
30,6,54,94899897
30,6,55,96072089
30,6,56,92722093
30,6,57,90856318
30,6,58,85298170
30,6,59,87549744
30,6,60,80931634
30,6,61,77593180
30,6,62,76318958
30,6,63,73823542
30,6,64,72626536
30,6,65,68862855
30,6,66,68454097
30,6,67,64535426
30,6,68,61456888
30,6,69,58727443
30,6,70,56620821
30,6,71,53190066
30,6,72,50623824
30,6,73,47689214
30,6,74,46604928
30,6,75,42600149
30,6,76,39888531
30,6,77,36279858
30,6,78,33199791
30,6,79,29934736
30,6,80,25944738
30,6,81,22134382
30,6,82,18254761
30,6,83,13909616
30,6,84,1249019
30,6,85,10187749
30,6,86,69813397
30,6,87,104306483
30,6,88,109379308
30,6,89,3606480
30,6,90,108204211
30,6,91,109723470
30,6,92,105762069
30,6,93,107751528
30,6,94,105344498
30,6,95,102306114
30,6,96,106068179
30,6,97,101638386
30,6,98,86856346
30,6,99,62155030
30,6,100,29847022
30,7,1,57520078
30,7,2,94613972
30,7,3,91408929
30,7,4,90224523
30,7,5,64754232
30,7,6,22883125
30,7,7,97006337
30,7,8,95773959
30,7,9,94702447
30,7,10,40806761
30,7,11,9841341
30,7,12,41598591
30,7,13,114164927
30,7,14,115632071
30,7,15,115674601
30,7,16,114040892
30,7,17,111300091
30,7,18,105822318
30,7,19,82018741
30,7,20,31524083
30,7,21,10992328
30,7,22,15874413
30,7,23,15218468
30,7,24,126585540
30,7,25,134207584
30,7,26,132242451
30,7,27,131490679
30,7,28,134825618
30,7,29,132754724
30,7,30,130861846
30,7,31,136267129
30,7,32,133872671
30,7,33,131443899
30,7,34,128923879
30,7,35,123602624
30,7,36,117064006
30,7,37,102200430
30,7,38,88812591
30,7,39,76277302
30,7,40,22429483
30,7,41,12235575
30,7,42,14499389
30,7,43,16070570
30,7,44,16690102
30,7,45,9514670
30,7,46,62356803
30,7,47,67712466
30,7,48,69721439
30,7,49,70046045
30,7,50,67714717
30,7,51,70437921
30,7,52,68808775
30,7,53,70304984
30,7,54,68048138
30,7,55,68569532
30,7,56,68614158
30,7,57,68802992
30,7,58,67638144
30,7,59,69331659
30,7,60,68876744
30,7,61,67874783
30,7,62,68654890
30,7,63,67890456
30,7,64,68357316
30,7,65,68490397
30,7,66,68301708
30,7,67,68309112
30,7,68,65838909
30,7,69,65202003
30,7,70,65616127
30,7,71,65576062
30,7,72,62881383
30,7,73,62900993
30,7,74,59766402
30,7,75,60651072
30,7,76,56035191
30,7,77,53638557
30,7,78,51954936
30,7,79,48433958
30,7,80,13277304
30,7,81,11217028
30,7,82,11648884
30,7,83,12162934
30,7,84,12064217
30,7,85,14051478
30,7,86,14989619
30,7,87,15327058
30,7,88,14929504
30,7,89,14889356
30,7,90,15349326
30,7,91,14994738
30,7,92,15233131
30,7,93,14844542
30,7,94,15107492
30,7,95,15239765
30,7,96,15577322
30,7,97,15396079
30,7,98,15079447
30,7,99,12657681
30,7,100,10989695
30,15,1,16174967
30,15,2,17611296
30,15,3,17428509
30,15,4,15676685
30,15,5,2911061
30,15,6,17803684
30,15,7,16659642
30,15,8,15494903
30,15,9,14846706
30,15,10,1539188
30,15,11,16673680
30,15,12,16778941
30,15,13,15755191
30,15,14,15498934
30,15,15,14793498
30,15,16,14446667
30,15,17,14076503
30,15,18,13439886
30,15,19,807413
30,15,20,17057696
30,15,21,16763505
30,15,22,16659833
30,15,23,15962364
30,15,24,16151167
30,15,25,15795679
30,15,26,15774151
30,15,27,15191159
30,15,28,15222322
30,15,29,14715078
30,15,30,14766131
30,15,31,14212965
30,15,32,14318027
30,15,33,13860704
30,15,34,13952298
30,15,35,13758044
30,15,36,13596276
30,15,37,13274283
30,15,38,436607
30,15,39,17201846
30,15,40,16831592
30,15,41,17115548
30,15,42,16791422
30,15,43,16625123
30,15,44,16935731
30,15,45,16331189
30,15,46,16611360
30,15,47,16520795
30,15,48,15595552
30,15,49,16558584
30,15,50,15706771
30,15,51,16405540
30,15,52,15312292
30,15,53,15890693
30,15,54,15350596
30,15,55,15345573
30,15,56,15185736
30,15,57,15341732
30,15,58,14771979
30,15,59,15000329
30,15,60,14694387
30,15,61,14894841
30,15,62,14578730
30,15,63,14447361
30,15,64,14336074
30,15,65,14515168
30,15,66,14036513
30,15,67,14651546
30,15,68,13808365
30,15,69,14071580
30,15,70,14008685
30,15,71,13819963
30,15,72,13731580
30,15,73,14044483
30,15,74,13405521
30,15,75,13576450
30,15,76,211683
30,15,77,16674363
30,15,78,16218588
30,15,79,16445436
30,15,80,16417082
30,15,81,16260597
30,15,82,16361872
30,15,83,16042881
30,15,84,16652576
30,15,85,15991950
30,15,86,16279830
30,15,87,16105381
30,15,88,15807936
30,15,89,16157789
30,15,90,16203766
30,15,91,15755611
30,15,92,15845361
30,15,93,15636601
30,15,94,15613527
30,15,95,15763909
30,15,96,15659242
30,15,97,15415197
30,15,98,15401640
30,15,99,15397179
30,15,100,16009907
30,18,1,80142355
30,18,2,76165491
30,18,3,77485066
30,18,4,74052132
30,18,5,3587430
30,18,6,94633595
30,18,7,97737522
30,18,8,93081118
30,18,9,94137330
30,18,10,2719865
30,18,11,99283317
30,18,12,99153513
30,18,13,100616289
30,18,14,100114802
30,18,15,97876891
30,18,16,99303566
30,18,17,94933506
30,18,18,95668453
30,18,19,7213353
30,18,20,2586474
30,18,21,100570178
30,18,22,98791431
30,18,23,99755449
30,18,24,102469766
30,18,25,100958745
30,18,26,101611732
30,18,27,98014645
30,18,28,100645456
30,18,29,100245270
30,18,30,95917807
30,18,31,96488623
30,18,32,97529182
30,18,33,96747544
30,18,34,94667284
30,18,35,97182012
30,18,36,91195734
30,18,37,95433915
30,18,38,1371289
30,18,39,16041447
30,18,40,94245387
30,18,41,97344250
30,18,42,99265966
30,18,43,97737637
30,18,44,97392902
30,18,45,95128725
30,18,46,99239245
30,18,47,96962912
30,18,48,96749842
30,18,49,95728392
30,18,50,97363433
30,18,51,95983851
30,18,52,94482237
30,18,53,94469410
30,18,54,93846744
30,18,55,94215984
30,18,56,95335142
30,18,57,93513940
30,18,58,93632643
30,18,59,92458385
30,18,60,92217759
30,18,61,91781792
30,18,62,93290617
30,18,63,91602919
30,18,64,91039331
30,18,65,93282539
30,18,66,90960736
30,18,67,90236321
30,18,68,90239783
30,18,69,90642148
30,18,70,88296252
30,18,71,90819655
30,18,72,86751804
30,18,73,88467868
30,18,74,87833299
30,18,75,90174052
30,18,76,822131
30,18,77,87409064
30,18,78,92226570
30,18,79,92093776
30,18,80,91416284
30,18,81,92625922
30,18,82,92133508
30,18,83,91890422
30,18,84,90457737
30,18,85,93086670
30,18,86,91921832
30,18,87,90999793
30,18,88,92225551
30,18,89,88337680
30,18,90,92835129
30,18,91,89843199
30,18,92,90623456
30,18,93,91485444
30,18,94,90810371
30,18,95,89767523
30,18,96,92614005
30,18,97,88073433
30,18,98,74906232
30,18,99,7948368
30,18,100,4608360
30,21,1,89767620
30,21,2,154057903
30,21,3,106504898
30,21,4,72960778
30,21,5,11894609
30,21,6,166018168
30,21,7,145996377
30,21,8,127026916
30,21,9,109020357
30,21,10,8398657
30,21,11,172542228
30,21,12,166462990
30,21,13,158800948
30,21,14,154938789
30,21,15,141908335
30,21,16,139199494
30,21,17,126371834
30,21,18,120647043
30,21,19,9531357
30,21,20,9274724
30,21,21,163146480
30,21,22,161103763
30,21,23,157352557
30,21,24,159166615
30,21,25,151171853
30,21,26,152554186
30,21,27,146653189
30,21,28,143647017
30,21,29,140485237
30,21,30,137456139
30,21,31,133234085
30,21,32,131042161
30,21,33,126157990
30,21,34,122486640
30,21,35,120182101
30,21,36,120719080
30,21,37,115351805
30,21,38,2708271
30,21,39,156105403
30,21,40,159917264
30,21,41,160115206
30,21,42,156542638
30,21,43,158918970
30,21,44,157009338
30,21,45,158241491
30,21,46,154678467
30,21,47,154906022
30,21,48,151142027
30,21,49,151561491
30,21,50,150557061
30,21,51,147074753
30,21,52,143847339
30,21,53,148435472
30,21,54,138740386
30,21,55,142300115
30,21,56,138379288
30,21,57,140407045
30,21,58,140251865
30,21,59,133019185
30,21,60,136515534
30,21,61,131229058
30,21,62,129525340
30,21,63,131827500
30,21,64,128629152
30,21,65,127733653
30,21,66,124955012
30,21,67,124618960
30,21,68,121440590
30,21,69,123012192
30,21,70,118746773
30,21,71,118761467
30,21,72,115531917
30,21,73,115790736
30,21,74,116164539
30,21,75,113092908
30,21,76,1379690
30,21,77,156225005
30,21,78,154648101
30,21,79,158893719
30,21,80,155607507
30,21,81,157065009
30,21,82,155392491
30,21,83,157547764
30,21,84,154567516
30,21,85,154899556
30,21,86,152898899
30,21,87,150730319
30,21,88,152544431
30,21,89,154579963
30,21,90,151027211
30,21,91,151671887
30,21,92,150785166
30,21,93,149238392
30,21,94,150939849
30,21,95,148051351
30,21,96,146400305
30,21,97,146766737
30,21,98,146474010
30,21,99,130231586
30,21,100,93342969
30,24,1,9343780
30,24,2,10142691
30,24,3,10176966
30,24,4,10505432
30,24,5,10178867
30,24,6,10340606
30,24,7,7756162
30,24,8,9844898
30,24,9,9894953
30,24,10,9978238
30,24,11,9762340
30,24,12,9946383
30,24,13,7015883
30,24,14,9436416
30,24,15,9856139
30,24,16,9272524
30,24,17,9842018
30,24,18,9292475
30,24,19,9654193
30,24,20,9516233
30,24,21,9560220
30,24,22,9536808
30,24,23,9521901
30,24,24,9519071
30,24,25,6124410
30,24,26,9416040
30,24,27,9396130
30,24,28,9537698
30,24,29,9379229
30,24,30,8473815
30,24,31,9278064
30,24,32,9428638
30,24,33,9223555
30,24,34,9484103
30,24,35,9353079
30,24,36,9278497
30,24,37,9345734
30,24,38,9308140
30,24,39,9547920
30,24,40,9155841
30,24,41,9376491
30,24,42,9375447
30,24,43,9411867
30,24,44,9266429
30,24,45,9314921
30,24,46,9413620
30,24,47,9264321
30,24,48,9469320
30,24,49,9380924
30,24,50,4556563
30,24,51,9258005
30,24,52,9334232
30,24,53,9127033
30,24,54,9484098
30,24,55,9157912
30,24,56,9214595
30,24,57,9261765
30,24,58,9276629
30,24,59,9229942
30,24,60,9326111
30,24,61,9045857
30,24,62,9181042
30,24,63,9392285
30,24,64,9169805
30,24,65,9107643
30,24,66,9366477
30,24,67,9098155
30,24,68,9309212
30,24,69,9118332
30,24,70,9267772
30,24,71,9115133
30,24,72,9312142
30,24,73,9090526
30,24,74,9288649
30,24,75,9193050
30,24,76,9252079
30,24,77,9237023
30,24,78,9086105
30,24,79,9332669
30,24,80,9218010
30,24,81,9254784
30,24,82,9266969
30,24,83,9124494
30,24,84,9322598
30,24,85,9171702
30,24,86,9246127
30,24,87,9186810
30,24,88,9344253
30,24,89,9172048
30,24,90,9393251
30,24,91,9226467
30,24,92,9298104
30,24,93,9326174
30,24,94,9247718
30,24,95,9354346
30,24,96,9156421
30,24,97,9220106
30,24,98,9115689
30,24,99,8917138
30,24,100,2395202
30,25,1,79923005
30,25,2,87057699
30,25,3,83518206
30,25,4,83178556
30,25,5,34732491
30,25,6,12950447
30,25,7,12746561
30,25,8,11096924
30,25,9,18874885
30,25,10,11234322
30,25,11,15919520
30,25,12,14898534
30,25,13,15806915
30,25,14,14286467
30,25,15,22961755
30,25,16,13911015
30,25,17,26322405
30,25,18,25177805
30,25,19,13849566
30,25,20,12623231
30,25,21,20763889
30,25,22,20818693
30,25,23,21796003
30,25,24,20546709
30,25,25,21525561
30,25,26,85273083
30,25,27,19846339
30,25,28,19396089
30,25,29,18409622
30,25,30,90119600
30,25,31,18383352
30,25,32,18669831
30,25,33,18408124
30,25,34,86324271
30,25,35,19092910
30,25,36,90036370
30,25,37,19066682
30,25,38,9173424
30,25,39,85581864
30,25,40,16719573
30,25,41,85807095
30,25,42,16318292
30,25,43,87820828
30,25,44,15448337
30,25,45,85674768
30,25,46,14488835
30,25,47,84674262
30,25,48,15341044
30,25,49,84801964
30,25,50,15124767
30,25,51,84143232
30,25,52,87644902
30,25,53,14678913
30,25,54,86582734
30,25,55,13655284
30,25,56,85038949
30,25,57,86760638
30,25,58,13047740
30,25,59,84629293
30,25,60,89451906
30,25,61,12708495
30,25,62,85772191
30,25,63,13175429
30,25,64,83458604
30,25,65,86579233
30,25,66,12068954
30,25,67,84617200
30,25,68,86182027
30,25,69,11866962
30,25,70,82002430
30,25,71,87078399
30,25,72,86238058
30,25,73,12493146
30,25,74,83152878
30,25,75,87895662
30,25,76,5948507
30,25,77,83647470
30,25,78,85798719
30,25,79,85330466
30,25,80,10973179
30,25,81,84903972
30,25,82,87186689
30,25,83,10539980
30,25,84,81165635
30,25,85,87029435
30,25,86,83030792
30,25,87,10617287
30,25,88,81723014
30,25,89,85093633
30,25,90,85721559
30,25,91,9647805
30,25,92,80529508
30,25,93,82909024
30,25,94,87285027
30,25,95,83032692
30,25,96,9608397
30,25,97,83890973
30,25,98,83598479
30,25,99,86604152
30,25,100,7893079
