case_id,entry_id,object_id,load_factor,operation_type,percentile,latency_ns,insert_cpu_time_ms,insert_throughput_ops_per_sec,insert_latency_ns_per_op,query_cpu_time_ms,query_throughput_ops_per_sec,query_latency_ns_per_op
26,0,6,0.7,1,50.0,138,1797,6535364,153,2819,4166034,240
26,0,6,0.7,1,95.0,308,1797,6535364,153,2819,4166034,240
26,0,6,0.7,1,99.0,505,1797,6535364,153,2819,4166034,240
26,0,6,0.7,1,99.9,593,1797,6535364,153,2819,4166034,240
26,0,6,0.7,1,99.99,758,1797,6535364,153,2819,4166034,240
26,0,6,0.7,1,100.0,195167,1797,6535364,153,2819,4166034,240
26,1,6,0.8,1,50.0,137,2523,5319766,187,3177,4224668,236
26,1,6,0.8,1,95.0,311,2523,5319766,187,3177,4224668,236
26,1,6,0.8,1,99.0,504,2523,5319766,187,3177,4224668,236
26,1,6,0.8,1,99.9,568,2523,5319766,187,3177,4224668,236
26,1,6,0.8,1,99.99,700,2523,5319766,187,3177,4224668,236
26,1,6,0.8,1,100.0,191445,2523,5319766,187,3177,4224668,236
26,2,6,0.9,1,50.0,145,3642,4145934,241,3752,4024385,248
26,2,6,0.9,1,95.0,323,3642,4145934,241,3752,4024385,248
26,2,6,0.9,1,99.0,512,3642,4145934,241,3752,4024385,248
26,2,6,0.9,1,99.9,594,3642,4145934,241,3752,4024385,248
26,2,6,0.9,1,99.99,759,3642,4145934,241,3752,4024385,248
26,2,6,0.9,1,100.0,193777,3642,4145934,241,3752,4024385,248
26,3,6,0.95,1,50.0,144,3794,4200936,238,3959,4025853,248
26,3,6,0.95,1,95.0,323,3794,4200936,238,3959,4025853,248
26,3,6,0.95,1,99.0,512,3794,4200936,238,3959,4025853,248
26,3,6,0.95,1,99.9,598,3794,4200936,238,3959,4025853,248
26,3,6,0.95,1,99.99,768,3794,4200936,238,3959,4025853,248
26,3,6,0.95,1,100.0,192077,3794,4200936,238,3959,4025853,248
26,0,7,0.7,1,50.0,200,779,15075802,66,3348,3507780,285
26,0,7,0.7,1,95.0,343,779,15075802,66,3348,3507780,285
