object_id,completion,memory_mb
6,0.00,295.890000
6,2.00,295.890000
6,4.00,295.890000
6,6.00,295.890000
6,8.00,295.890000
6,10.00,295.890000
6,12.00,295.890000
6,14.00,295.890000
6,16.00,295.890000
6,18.00,871.950000
6,20.00,871.950000
6,22.00,871.950000
6,24.00,871.950000
6,26.00,871.950000
6,28.00,871.950000
6,30.00,871.950000
6,32.00,871.950000
6,34.00,871.950000
6,36.00,1736.050000
6,38.00,1736.050000
6,40.00,1736.050000
6,42.00,1736.050000
6,44.00,1736.050000
6,46.00,1736.050000
6,48.00,1736.050000
6,50.00,1736.050000
6,52.00,1736.050000
6,54.00,1736.050000
6,56.00,1736.050000
6,58.00,1736.050000
6,60.00,1736.050000
6,62.00,1736.050000
6,64.00,1736.050000
6,66.00,1736.050000
6,68.00,1736.050000
6,70.00,3464.120000
6,72.00,3464.120000
6,74.00,3464.120000
6,76.00,3464.120000
6,78.00,3464.120000
6,80.00,3464.120000
6,82.00,3464.120000
6,84.00,3464.120000
6,86.00,3464.120000
6,88.00,3464.120000
6,90.00,3464.120000
6,92.00,3464.120000
6,94.00,3464.120000
6,96.00,3464.120000
6,98.00,3464.120000
6,100.00,3464.120000
7,0.00,314.430000
7,2.00,314.430000
7,4.00,314.430000
7,6.00,314.430000
7,8.00,314.430000
7,10.00,314.430000
7,12.00,314.430000
7,14.00,314.430000
7,16.00,314.430000
7,18.00,624.910000
7,20.00,624.910000
7,22.00,624.910000
7,24.00,624.910000
7,26.00,624.910000
7,28.00,624.910000
7,30.00,624.910000
7,32.00,624.910000
7,34.00,1245.640000
7,36.00,1245.640000
7,38.00,1245.640000
7,40.00,1245.640000
7,42.00,1245.640000
7,44.00,1245.640000
7,46.00,1245.640000
7,48.00,1245.640000
7,50.00,1245.640000
7,52.00,1245.640000
7,54.00,1245.640000
7,56.00,1245.640000
7,58.00,1245.640000
7,60.00,1245.640000
7,62.00,1245.640000
7,64.00,1245.640000
7,66.00,2486.970000
7,68.00,2486.970000
7,70.00,2486.970000
7,72.00,2486.970000
7,74.00,2486.970000
7,76.00,2486.970000
7,78.00,2486.970000
7,80.00,2486.970000
7,82.00,2486.970000
7,84.00,2486.970000
7,86.00,2486.970000
7,88.00,2486.970000
7,90.00,2486.970000
7,92.00,2486.970000
7,94.00,2486.970000
7,96.00,2486.970000
7,98.00,2486.970000
7,100.00,2486.970000
15,0.00,259.930000
15,2.00,259.930000
15,4.00,259.930000
15,6.00,259.930000
15,8.00,259.930000
15,10.00,259.930000
15,12.00,259.930000
15,14.00,259.930000
15,16.00,772.110000
15,18.00,772.110000
15,20.00,772.110000
15,22.00,772.110000
15,24.00,772.110000
15,26.00,772.110000
15,28.00,772.110000
15,30.00,772.110000
15,32.00,1796.240000
15,34.00,1796.240000
15,36.00,1796.240000
15,38.00,1796.240000
15,40.00,1796.240000
15,42.00,1796.240000
15,44.00,1796.240000
15,46.00,1796.240000
15,48.00,1796.240000
15,50.00,1796.240000
15,52.00,1796.240000
15,54.00,1796.240000
15,56.00,1796.240000
15,58.00,1796.240000
15,60.00,1796.240000
15,62.00,1796.240000
15,64.00,3844.180000
15,66.00,3844.180000
15,68.00,3844.180000
15,70.00,3844.180000
15,72.00,3844.180000
15,74.00,3844.180000
15,76.00,3844.180000
15,78.00,3844.180000
15,80.00,3844.180000
15,82.00,3844.180000
15,84.00,3844.180000
15,86.00,3844.180000
15,88.00,3844.180000
15,90.00,3844.180000
15,92.00,3844.180000
15,94.00,3844.180000
15,96.00,3844.180000
15,98.00,3844.180000
15,100.00,3844.180000
18,0.00,4.830000
18,2.00,383.400000
18,4.00,383.400000
18,6.00,383.400000
18,8.00,383.400000
18,10.00,383.400000
18,12.00,383.400000
18,14.00,383.400000
18,16.00,417.460000
18,18.00,476.400000
18,20.00,518.950000
18,22.00,565.350000
18,24.00,616.040000
18,26.00,670.990000
18,28.00,700.520000
18,30.00,762.980000
18,32.00,832.500000
18,34.00,869.400000
18,36.00,947.850000
18,38.00,989.800000
18,40.00,1033.360000
18,42.00,1078.760000
18,44.00,1126.260000
18,46.00,1175.590000
18,48.00,1227.380000
18,50.00,1281.280000
18,52.00,1281.280000
18,54.00,1337.380000
18,56.00,1395.990000
18,58.00,1457.290000
18,60.00,1521.460000
18,62.00,1521.460000
18,64.00,1652.310000
18,66.00,1717.800000
18,68.00,1717.800000
18,70.00,1786.000000
18,72.00,1857.070000
18,74.00,1857.070000
18,76.00,1930.910000
18,78.00,1930.910000
18,80.00,2008.120000
18,82.00,2008.120000
18,84.00,2088.490000
18,86.00,2088.490000
18,88.00,2172.030000
18,90.00,2172.030000
18,92.00,2259.410000
18,94.00,2259.410000
18,96.00,2350.540000
18,98.00,2350.540000
18,100.00,2445.500000
21,0.00,552.260000
21,2.00,552.480000
21,4.00,552.480000
21,6.00,552.480000
21,8.00,552.480000
21,10.00,552.480000
21,12.00,552.480000
21,14.00,552.480000
21,16.00,620.860000
21,18.00,620.860000
21,20.00,620.860000
21,22.00,620.860000
21,24.00,620.860000
21,26.00,620.860000
21,28.00,620.860000
21,30.00,620.860000
21,32.00,2162.020000
21,34.00,2162.020000
21,36.00,2162.020000
21,38.00,2162.020000
21,40.00,2162.020000
21,42.00,2162.020000
21,44.00,2162.020000
21,46.00,2162.020000
21,48.00,2162.020000
21,50.00,2162.020000
21,52.00,2162.020000
21,54.00,2162.020000
21,56.00,2162.020000
21,58.00,2162.020000
21,60.00,2162.020000
21,62.00,2162.020000
21,64.00,2401.580000
21,66.00,2401.580000
21,68.00,2401.580000
21,70.00,2401.580000
21,72.00,2401.580000
21,74.00,2401.580000
21,76.00,2401.580000
21,78.00,2401.580000
21,80.00,2401.580000
21,82.00,2401.580000
21,84.00,2401.580000
21,86.00,2401.580000
21,88.00,2401.580000
21,90.00,2401.580000
21,92.00,2401.580000
21,94.00,2401.580000
21,96.00,2401.580000
21,98.00,2401.580000
21,100.00,2401.580000
24,0.00,4.140000
24,2.00,228.750000
24,4.00,300.400000
24,6.00,364.890000
24,8.00,425.070000
24,10.00,482.420000
24,12.00,538.280000
24,14.00,594.080000
24,16.00,647.620000
24,18.00,698.650000
24,20.00,750.650000
24,22.00,939.350000
24,24.00,1003.080000
24,26.00,1062.740000
24,28.00,1122.660000
24,30.00,1181.550000
24,32.00,1239.410000
24,34.00,1296.560000
24,36.00,1352.880000
24,38.00,1408.740000
24,40.00,1465.310000
24,42.00,1782.020000
24,44.00,1847.550000
24,46.00,1913.080000
24,48.00,1975.570000
24,50.00,2038.780000
24,52.00,2101.280000
24,54.00,2162.950000
24,56.00,2224.150000
24,58.00,2284.590000
24,60.00,2344.250000
24,62.00,2403.660000
24,64.00,2462.290000
24,66.00,2520.410000
24,68.00,2579.820000
24,70.00,2635.680000
24,72.00,2692.770000
24,74.00,2748.890000
24,76.00,2805.980000
24,78.00,2861.060000
24,80.00,2916.410000
24,82.00,2972.730000
24,84.00,3549.570000
24,86.00,3617.360000
24,88.00,3682.890000
24,90.00,3748.410000
24,92.00,3813.940000
24,94.00,3877.730000
24,96.00,3943.000000
24,98.00,4005.500000
24,100.00,4068.700000
