case_id,object_id,thread_num,throughput (ops/s),latency (ns/op)
1,6,1,6446213,155
1,6,2,12512428,79
1,6,4,24534045,40
1,6,8,45899310,21
1,6,16,77026428,12
1,6,32,96919617,10
1,7,1,10463773,95
1,7,2,20922879,47
1,7,4,41549242,24
1,7,8,73181115,13
1,7,16,83468140,11
1,7,32,140027149,7
1,15,1,15063935,66
1,15,2,16344632,61
1,15,4,17157679,58
1,15,8,16563945,60
1,15,16,15579241,64
1,15,32,22927221,43
1,17,1,7799982,128
1,17,2,14393708,69
1,17,4,27416186,36
1,17,8,51605165,19
1,17,16,90209798,11
1,17,32,119361564,8
1,20,1,15960903,62
1,20,2,30127870,33
1,20,4,59228655,16
1,20,8,105413696,9
1,20,16,194643547,5
1,20,32,265023135,3
1,24,1,2849018,350
1,24,2,4444253,225
1,24,4,6186086,161
1,24,8,7041293,142
1,24,16,7099908,140
1,24,32,8301025,120
3,6,1,8769694,114
3,6,2,17233319,58
3,6,4,33820544,29
3,6,8,64791567,15
3,6,16,108085472,9
3,6,32,134025985,7
3,7,1,7504254,133
3,7,2,14877607,67
3,7,4,18132622,55
3,7,8,35323113,28
3,7,16,100879774,9
3,7,32,169346913,5
3,15,1,19068737,52
3,15,2,37377764,26
3,15,4,72953491,13
3,15,8,135184711,7
3,15,16,226613985,4
3,15,32,295025754,3
3,17,1,6321128,158
3,17,2,12403250,80
3,17,4,24192416,41
3,17,8,46124970,21
3,17,16,81157603,12
3,17,32,102645722,9
3,20,1,8105943,123
3,20,2,16070262,62
3,20,4,31824352,31
3,20,8,62296274,16
3,20,16,109600689,9
3,20,32,189915364,5
3,24,1,703379,1421
3,24,2,854617,1170
9,6,1,10208725,97
9,6,2,20202021,49
9,6,4,38832032,25
9,6,8,76027706,13
9,6,16,128518068,7
9,6,32,157413070,6
9,7,1,15430623,64
9,7,2,30861246,32
9,7,4,61479809,16
9,7,8,120279730,8
9,7,16,220230492,4
9,7,32,249516462,4
9,15,1,21777667,45
9,15,2,42957046,23
9,15,4,83916091,11
9,15,8,161199639,6
9,15,16,279220803,3
9,15,32,384500778,2
9,17,1,9927850,100
9,17,2,19726280,50
9,17,4,37952342,26
9,17,8,76774296,13
9,17,16,136761209,7
9,17,32,180419596,5
9,20,1,21647021,46
9,20,2,42878514,23
9,20,4,84217405,11
9,20,8,154815495,6
9,20,16,293181843,3
9,20,32,355371931,2
9,24,1,7193543,139
9,24,2,14384880,69
9,24,4,28464256,35
9,24,8,54864438,18
9,24,16,106369829,9
9,24,32,116111621,8
10,6,1,9073325,110
10,6,2,17965949,55
10,6,4,35269996,28
10,6,8,68082866,14
10,6,16,116980286,8
10,6,32,100879774,9
10,7,1,13213829,75
10,7,2,26427659,37
10,7,4,52412396,19
10,7,8,103552086,9
10,7,16,174383252,5
10,7,32,217171736,4
10,15,1,10909091,91
10,15,2,21449060,46
10,15,4,42222407,23
10,15,8,79238336,12
10,15,16,136363648,7
10,15,32,204843209,4
10,17,1,13262396,75
10,17,2,26668047,37
10,17,4,52706848,18
10,17,8,103323997,9
10,17,16,185411442,5
10,17,32,239332117,4
10,20,1,28326748,35
10,20,2,55910721,17
10,20,4,108335092,9
10,20,8,197928670,5
10,20,16,366477304,2
10,20,32,415124734,2
10,24,1,5465349,182
10,24,2,10836011,92
10,24,4,22327032,44
10,24,8,40161896,24
10,24,16,68983963,14
10,24,32,87680551,11
