case_id,object_id,load_factor,avg_throughput (ops/s),avg_latency (ns/op),avg_real_memory (MB),avg_virtual_memory (MB),avg_virtual_memory_case1 (MB),space_efficiency,throughput_millions
1,6,0.05,10413192.5,97.0,293.83599999999996,292.007,292.007,0.04383456560972854,10.4131925
1,6,0.1,10679622.1,93.0,293.824,292.007,292.007,0.08766913121945707,10.6796221
1,6,0.15,10305509.5,96.2,295.887,298.734,298.734,0.12854244913535118,10.3055095
1,6,0.2,10013461.7,99.3,293.828,292.007,292.007,0.17533826243891415,10.013461699999999
1,6,0.25,9747679.1,102.3,293.746,292.007,292.007,0.21917282804864266,9.7476791
1,6,0.3,9521810.4,104.3,295.926,298.734,298.734,0.25708489827070236,9.5218104
1,6,0.35,9240118.3,107.6,293.774,292.007,292.007,0.3068419592680997,9.2401183
1,6,0.4,8936277.4,111.3,293.78900000000004,292.007,292.007,0.3506765248778283,8.9362774
1,6,0.45,8604893.7,115.6,293.828,292.007,292.007,0.3945110904875568,8.6048937
1,6,0.5,8225784.9,121.1,293.82800000000003,292.007,292.007,0.4383456560972853,8.2257849
1,6,0.55,7814719.5,127.5,293.848,292.007,292.007,0.4821802217070139,7.8147195
1,6,0.6,7378011.3,135.2,293.78900000000004,292.007,292.007,0.5260147873167423,7.3780113
1,6,0.65,6958938.6,143.2,293.73,292.007,292.007,0.569849352926471,6.9589386
1,6,0.7,6500779.5,153.1,293.879,292.007,292.007,0.6136839185361994,6.5007795
1,6,0.75,5955952.9,167.4,293.76899999999995,292.007,292.007,0.657518484145928,5.955952900000001
1,6,0.8,5290905.4,188.4,293.832,292.007,292.007,0.7013530497556566,5.290905400000001
1,7,0.05,12122669.6,82.2,312.44100000000003,310.351,310.351,0.04124362415458626,12.1226696
1,7,0.1,12893427.1,77.2,312.379,310.351,310.351,0.08248724830917252,12.8934271
1,7,0.15,13283670.0,74.9,312.336,310.351,310.351,0.12373087246375877,13.28367
1,7,0.2,13074038.2,76.4,312.43,310.351,310.351,0.16497449661834504,13.074038199999999
1,7,0.25,12792213.6,77.8,312.363,310.351,310.351,0.2062181207729313,12.7922136
1,7,0.3,12826405.8,77.6,312.367,310.351,310.351,0.24746174492751755,12.8264058
1,7,0.35,12826226.4,77.4,312.368,310.351,310.351,0.2887053690821038,12.826226400000001
1,7,0.4,12624095.1,78.9,312.34799999999996,310.351,310.351,0.3299489932366901,12.6240951
1,7,0.45,12833678.4,77.6,312.394,310.351,310.351,0.37119261739127635,12.8336784
1,7,0.5,12301286.6,81.3,312.39099999999996,310.351,310.351,0.4124362415458626,12.3012866
1,7,0.55,12416323.3,80.1,312.372,310.351,310.351,0.4536798657004489,12.4163233
1,7,0.6,12348991.4,80.6,312.39399999999995,310.351,310.351,0.4949234898550351,12.348991400000001
1,7,0.65,12342343.3,80.6,312.394,310.351,310.351,0.5361671140096214,12.342343300000001
1,7,0.7,12189892.8,81.6,312.33599999999996,310.351,310.351,0.5774107381642076,12.1898928
1,7,0.75,12001914.4,82.8,312.332,310.351,310.351,0.6186543623187939,12.0019144
1,7,0.8,11805142.5,84.4,314.539,317.078,317.078,0.6458978547865195,11.8051425
1,7,0.85,11682423.5,85.1,312.37899999999996,310.351,310.351,0.7011416106279664,11.6824235
1,7,0.9,11567626.5,86.0,312.382,310.351,310.351,0.7423852347825527,11.5676265
1,7,0.95,11169892.3,89.1,312.37100000000004,310.351,310.351,0.7836288589371389,11.1698923
