id,name,value
1,httwo_avg_fill_throughput,238.8
2,httwo_avg_run_throughput,369.4
3,htone_avg_fill_throughput,100.3
4,htone_avg_run_throughput,221.9
5,httwo_fill_speedup,1.99
6,htone_fill_speedup_percent,83.6
7,httwo_run_speedup,1.2
8,htone_run_speedup_percent,72.0
9,httwo_speedup_percent,59.4
10,htthree_a_to_b_speedup,2.1
11,htthree_a_to_b_change_percent,110.8
12,htfour_a_to_b_speedup,1.3
13,htfour_a_to_b_change_percent,30.1
14,htfive_a_to_b_speedup,2.6
15,htfive_a_to_b_change_percent,157.2
16,htsix_a_to_b_speedup,2.0
17,htsix_a_to_b_change_percent,97.6
18,htone_a_to_b_speedup,1.3
19,htone_a_to_b_change_percent,31.9
20,httwo_a_to_b_speedup,1.2
21,httwo_a_to_b_change_percent,18.7
22,htthree_neg_over_pos_speedup,1.0
23,htthree_pos_neg_diff_percent,3.9
24,htfour_pos_over_neg_speedup,1.3
25,htfour_pos_neg_diff_percent,23.8
26,htfive_pos_over_neg_speedup,1.1
27,htfive_pos_neg_diff_percent,12.2
28,htsix_pos_over_neg_speedup,1.8
29,htsix_pos_neg_diff_percent,45.8
30,htone_neg_over_pos_speedup,3.2
31,htone_pos_neg_diff_percent,69.0
32,httwo_neg_over_pos_speedup,2.6
33,httwo_pos_neg_diff_percent,62.0
34,htfive_run_c_over_load_speedup,28.3
35,htfour_workload_variance_percent,20.3
36,htthree_max_space_efficiency_percent,70.1
37,htfour_max_space_efficiency_percent,81.7
38,htfive_max_space_efficiency_percent,75.0
39,htsix_max_space_efficiency_percent,32.4
40,htone_max_space_efficiency_percent,105.4
41,httwo_max_space_efficiency_percent,83.4
42,htone_mem_shave_upper_percent,69.3
43,htone_mem_shave_lower_percent,22.5
44,htone_mem_shave_mean_percent,38.5
45,httwo_mem_shave_mean_percent,22.3
46,htthree_throughput_drop_percent,25.5
47,htfour_throughput_drop_percent,3.6
48,htfour_mid_load_speedup_percent,-0.6
49,htfive_throughput_drop_percent,51.5
50,htsix_throughput_drop_percent,40.4
51,htone_throughput_drop_percent,35.8
52,httwo_throughput_drop_percent,15.9
53,htfive_over_httwo_low_load_ratio,2.2
54,insertion_only_load_factor_percent,98.2
55,deletion_included_load_factor_percent,95.0
56,empty_bins_percent,36.79
57,one_key_bins_percent,36.79
58,max_whisker_diff_percent,0.019
59,htone_thread_scaling_factor,0.941
60,httwo_thread_scaling_factor,0.92
61,htone_insertion_incache_performance_degradation_percent,9.3
62,htfour_insertion_inmem_performance_degradation_percent,41.7
63,httwo_latency_shave_percent,-7.2
64,htthree_resizing_avg_fill_throughput,25.8
65,htthree_resizing_avg_run_throughput,142.7
66,htfour_resizing_avg_fill_throughput,65.7
67,htfour_resizing_avg_run_throughput,86.1
68,htfive_resizing_avg_fill_throughput,4.2
69,htfive_resizing_avg_run_throughput,83.5
70,htsix_resizing_avg_fill_throughput,11.7
71,htsix_resizing_avg_run_throughput,38.8
72,htone_resizing_avg_fill_throughput,29.9
73,htone_resizing_avg_run_throughput,65.2
74,httwo_resizing_avg_fill_throughput,35.7
75,httwo_resizing_avg_run_throughput,110.5
76,htfour_resizing_throughput_decrease_percent,44.5
